"date", "price"
"2013-06-20 19:03:20.053", "112.90001"
"2013-06-20 19:03:35.561", "112.90001"
"2013-06-20 19:03:51.073", "112.90001"
"2013-06-20 19:04:06.599", "112.9"
"2013-06-20 19:04:22.107", "112.9"
"2013-06-20 19:04:37.640", "112.9"
"2013-06-20 19:04:53.307", "112.9"
"2013-06-20 19:05:08.839", "112.9"
"2013-06-20 19:05:24.356", "112.9"
"2013-06-20 19:05:39.867", "112.9"
"2013-06-20 19:05:55.548", "112.9"
"2013-06-20 19:06:11.051", "112.9"
"2013-06-20 19:06:26.558", "112.85"
"2013-06-20 19:06:42.079", "112.85"
"2013-06-20 19:06:57.591", "112.85"
